DATE,ret
12/31/96,9.55
1/1/97,
1/2/97,9.57
1/3/97,9.58
1/6/97,9.61
1/7/97,9.63
1/8/97,9.63
1/9/97,9.6
1/10/97,9.64
1/13/97,9.64
1/14/97,9.59
1/15/97,9.56
1/16/97,9.56
1/17/97,9.56
1/20/97,9.55
1/21/97,9.53
1/22/97,9.52
1/23/97,9.53
1/24/97,9.53
1/27/97,9.54
1/28/97,9.52
1/29/97,9.49
1/30/97,9.49
1/31/97,9.49
2/3/97,9.45
2/4/97,9.44
2/5/97,9.43
2/6/97,9.42
2/7/97,9.39
2/10/97,9.37
2/11/97,9.36
2/12/97,9.35
2/13/97,9.31
2/14/97,9.27
2/17/97,
2/18/97,9.27
2/19/97,9.26
2/20/97,9.25
2/21/97,9.23
2/24/97,9.22
2/25/97,9.21
2/26/97,9.24
2/27/97,9.27
2/28/97,9.34
3/3/97,9.32
3/4/97,9.31
3/5/97,9.32
3/6/97,9.33
3/7/97,9.31
3/10/97,9.31
3/11/97,9.3
3/12/97,9.31
3/13/97,9.35
3/14/97,9.36
3/17/97,9.37
3/18/97,9.38
3/19/97,9.41
3/20/97,9.43
3/21/97,9.44
3/24/97,9.44
3/25/97,9.45
3/26/97,9.51
3/27/97,9.58
3/28/97,
3/31/97,9.78
4/1/97,9.8
4/2/97,9.82
4/3/97,9.83
4/4/97,9.86
4/7/97,9.82
4/8/97,9.84
4/9/97,9.83
4/10/97,9.83
4/11/97,9.87
4/14/97,9.88
4/15/97,9.81
4/16/97,9.8
4/17/97,9.79
4/18/97,9.75
4/21/97,9.75
4/22/97,9.73
4/23/97,9.74
4/24/97,9.74
4/25/97,9.74
4/28/97,9.75
4/29/97,9.69
4/30/97,9.67
5/1/97,9.61
5/2/97,9.58
5/5/97,9.55
5/6/97,9.53
5/7/97,9.55
5/8/97,9.53
5/9/97,9.48
5/12/97,9.47
5/13/97,9.44
5/14/97,9.41
5/15/97,9.38
5/16/97,9.37
5/19/97,9.37
5/20/97,9.36
5/21/97,9.38
5/22/97,9.38
5/23/97,9.36
5/26/97,
5/27/97,9.37
5/28/97,9.37
5/29/97,9.34
5/30/97,9.3
5/31/97,9.35
6/2/97,9.35
6/3/97,9.33
6/4/97,9.31
6/5/97,9.3
6/6/97,9.26
6/9/97,9.22
6/10/97,9.2
6/11/97,9.18
6/12/97,9.14
6/13/97,9.12
6/16/97,9.09
6/17/97,9.08
6/18/97,9.09
6/19/97,9.1
6/20/97,9.09
6/23/97,9.11
6/24/97,9.1
6/25/97,9.08
6/26/97,9.14
6/27/97,9.13
6/30/97,9.23
7/1/97,9.2
7/2/97,9.22
7/3/97,9.19
7/4/97,
7/7/97,9.17
7/8/97,9.16
7/9/97,9.13
7/10/97,9.12
7/11/97,9.08
7/14/97,9.06
7/15/97,9.02
7/16/97,8.98
7/17/97,8.98
7/18/97,8.99
7/21/97,9
7/22/97,8.95
7/23/97,8.92
7/24/97,8.92
7/25/97,8.92
7/28/97,8.89
7/29/97,8.88
7/30/97,8.85
7/31/97,8.82
8/1/97,8.85
8/4/97,8.86
8/5/97,8.86
8/6/97,8.85
8/7/97,8.85
8/8/97,8.93
8/11/97,8.93
8/12/97,8.97
8/13/97,8.96
8/14/97,8.93
8/15/97,8.91
8/18/97,8.91
8/19/97,8.9
8/20/97,8.91
8/21/97,8.93
8/22/97,8.95
8/25/97,8.96
8/26/97,8.96
8/27/97,8.97
8/28/97,8.95
8/29/97,8.96
8/31/97,9.04
9/1/97,
9/2/97,9.01
9/3/97,9.01
9/4/97,9.02
