Ticker,Currency,datadate,Fiscal Quarter,NI
WMT,USD,19800430,1980Q1,9.455
WMT,USD,19800731,1980Q2,11.155
WMT,USD,19801031,1980Q3,13.275
WMT,USD,19810131,1980Q4,21.797
WMT,USD,19810430,1981Q1,13.423
WMT,USD,19810731,1981Q2,16.581
WMT,USD,19811031,1981Q3,18.673
WMT,USD,19820131,1981Q4,34.117
WMT,USD,19820430,1982Q1,18.184
WMT,USD,19820731,1982Q2,23.763
WMT,USD,19821031,1982Q3,26.692
WMT,USD,19830131,1982Q4,55.501
WMT,USD,19830430,1983Q1,27.503
WMT,USD,19830731,1983Q2,41.475
WMT,USD,19831031,1983Q3,42.704
WMT,USD,19840131,1983Q4,84.562
WMT,USD,19840430,1984Q1,43.643
WMT,USD,19840731,1984Q2,58.964
WMT,USD,19841031,1984Q3,58.792
WMT,USD,19850131,1984Q4,109.368
WMT,USD,19850430,1985Q1,51.69
WMT,USD,19850731,1985Q2,71.809
WMT,USD,19851031,1985Q3,70.917
WMT,USD,19860131,1985Q4,133.057
WMT,USD,19860430,1986Q1,73.391
WMT,USD,19860731,1986Q2,95.864
WMT,USD,19861031,1986Q3,96.531
WMT,USD,19870131,1986Q4,184.3
WMT,USD,19870430,1987Q1,110.39
WMT,USD,19870731,1987Q2,134.071
WMT,USD,19871031,1987Q3,136.051
WMT,USD,19880131,1987Q4,247.131
WMT,USD,19880430,1988Q1,153.551
WMT,USD,19880731,1988Q2,179.61
WMT,USD,19881031,1988Q3,180.874
WMT,USD,19890131,1988Q4,323.186
WMT,USD,19890430,1989Q1,198.289
WMT,USD,19890731,1989Q2,219.048
WMT,USD,19891031,1989Q3,232.702
WMT,USD,19900131,1989Q4,425.862
WMT,USD,19900430,1990Q1,253.443
WMT,USD,19900731,1990Q2,272.931
WMT,USD,19901031,1990Q3,282.807
WMT,USD,19910131,1990Q4,481.843
WMT,USD,19910430,1991Q1,306.953
WMT,USD,19910731,1991Q2,345.893
WMT,USD,19911031,1991Q3,353.2
WMT,USD,19920131,1991Q4,602.43
WMT,USD,19920430,1992Q1,386.955
WMT,USD,19920731,1992Q2,420.447
WMT,USD,19921031,1992Q3,437.804
WMT,USD,19930131,1992Q4,749.588
WMT,USD,19930430,1993Q1,450.65
