date,rf,mktrf,smb,hml,rmw,cma,mom,lt_rev,st_rev,nodur,durbl,manuf,enrgy,chems,buseq,telcm,utils,shops,hlth,money,other
198901,0.55000001,6.0999999,-2.23,0.50999999,-1.03,0.16,-0.14,2.8900001,1.05,5.0899997,7.0499997,6.1499996,5.77,8.9099998,6.5499997,8.4099998,2.21,5.8099999,6.25,6.1999998,6.54
198902,0.61000001,-2.25,2.6700001,0.87,-0.81999999,1.89,0.94,0.91000003,1.09,-2.01,-3.5999999,-2.6500001,-1.92,-2.8200002,-4.3600001,-1.83,-2.4300001,-2.4099998,-1.76,-0.98000002,-1.01
198903,0.67000002,1.5700001,0.75999999,0.46000001,0.01,0.79000002,3.55,0.16,-0.88,4.7599998,-2.0799999,-0.13,3.1499999,2.0899999,-6.2000003,4.8899999,-0.10000002,2.21,4.29,4.0699997,0.52000004
198904,0.67000002,4.3299999,-0.69999999,-1.45,0.75999999,-0.54000002,1.6900001,-1.12,-0.69999999,5.0599999,-0.20000002,4.77,1.9399998,4.3800001,4.5099998,8.96,3.23,4.8600001,4.7399998,3.21,5.2799997
198905,0.79000002,3.3499999,-0.01,-0.81999999,0.49000001,-0.039999999,1.5599999,-1.73,-2.74,4.5799999,1.51,3.5100002,2.03,1.3299999,1.6700001,5,4.5500002,4.48,2.6400001,3.3299999,3.5300002
198906,0.70999998,-1.35,-1.08,2.1900001,0.23999999,1.52,0.64999998,-0.72000003,2.28,0.77000004,0.56999999,-3.8800001,-1.67,-2.24,-3.98,-0.73999995,2.6900001,-2.77,-3.45,0.16000003,0.30000001
198907,0.69999999,7.1999998,-4.04,-2.8399999,1.99,-0.62,5.4400001,-1.83,1.3,11.28,4.4200001,7.1500001,3.0599999,6.4200001,2.26,7.8699999,5.1000004,8.4400005,13.190001,7.46,7.3500004
198908,0.74000001,1.4400001,0.43000001,0.72000003,0.41,-0.5,-0.14,0.14,1.84,-2.73,4.6899996,2.7,2.6199999,6.1400003,1.8399999,0.27999997,-1.54,1.96,-0.37,1.21,5.1999998
198909,0.64999998,-0.75999999,0.46000001,-1.34,1.4,0.58999997,3.4000001,-2.8099999,1.1900001,-1.1900001,-5.25,-2.8000002,0.75999999,-4.0799999,-3.4400001,3.1599998,-0.16999999,-2.8800001,1.7300001,1.4599999,-0.33999997
198910,0.68000001,-3.6700001,-3.3299999,-1.03,0,0.02,1.37,-3.5799999,-4.2600002,-3.1700001,-6.3799996,-5.3099999,-0.22,-4.4200001,-5.2399998,-2.72,0.32999998,-4.79,-0.29000002,-4.6599998,-6.8999996
198911,0.69,1.03,-1.3,-1.12,-0.91000003,1.47,2.5799999,-1.25,-1.75,0.98999995,-1.8699999,2.6499999,3.24,1.73,-2.5,1.3,2.54,0.67000002,3.8400002,-1.15,0.069999993
198912,0.61000001,1.16,-2.3,0.28,-0.1,1.45,2.8099999,-0.85000002,-2.54,0.75,-2.0599999,1.7199999,5.25,3.9499998,-1.67,5.1199999,4.1799998,0.63,0.43999994,-3.0799999,-0.43000001
199001,0.56999999,-7.8499999,-1.33,0.87,-1.13,1.3200001,-3.28,3.26,1.08,-10,-4.4099998,-6.1200004,-4.71,-8.6199999,-1.8199999,-13.969999,-5.9200001,-6.8099999,-7.9400001,-10.349999,-7.73
199002,0.56999999,1.11,1.1799999,0.61000001,-0.19,-0.63999999,-0.52999997,1.89,0.44,-0.95999998,4.5599999,2.1400001,2.46,1.6100001,3.45,-0.90999997,-0.34999999,1.3499999,-2.6299999,1.76,2.4400001
199003,0.63999999,1.83,1.64,-2.9000001,2.1500001,-1.02,1.65,-0.079999998,0.23999999,3.9000001,2.2600002,3.9500003,-1.12,1.58,3.8299999,3.54,-1.39,4.6600003,3.2199998,-2.1900001,1.15
199004,0.69,-3.3599999,-0.40000001,-2.55,1.72,-0.98000002,2.4000001,-1.12,-2.02,-0.96000004,-4.73,-3.6700001,-4.2799997,-2.8500001,-2.71,-4.1500001,-6.2000003,-2.5999999,-0.40000001,-4.9200001,-2.9100001
199005,0.68000001,8.4200001,-2.4000001,-3.74,1.65,-1.5700001,3.05,0.95999998,-0.44,8.3599997,7.0800004,7.0700002,5.27,8.25,11.88,8.71,4.7400002,11.02,12.08,8.5999994,8.0299997
199006,0.63,-1.09,1.38,-1.9400001,-1,-0.34,2.4300001,-1.46,-0.19,1.4,-2.8800001,-1.25,-2.71,-1.1700001,-1.87,-5.3400002,0.12,0.99000001,3.8099999,-2.46,-1.6799999
199007,0.68000001,-1.9,-3.27,-0.01,-0.27000001,3.0999999,5.9299998,-1.8099999,-0.56,-1.49,-4.1599998,-0.69999999,7.5499997,0.12,-8.2300005,-5.27,0.19999999,-4.6900001,1.9099998,-5.23,-2.29
199008,0.66000003,-10.15,-3.8499999,1.58,-0.43000001,2.99,1.78,1.5599999,-3.51,-8.0200005,-14.93,-12.57,-1.8600001,-13.09,-12.76,-11.38,-7.29,-12.83,-7.48,-11.69,-12.599999
199009,0.60000002,-6.1199999,-3.78,0.73000002,-0.16,3.71,5.5300002,0.68000001,-5.9899998,-4.71,-11.18,-9.1900005,-2.1900001,-7.29,-7.29,0.68999994,-0.12000003,-9.0200005,-4.9499998,-12.04,-8.1999998
199010,0.68000001,-1.92,-5.0700002,0.22,2.8699999,-0.49000001,6.73,-3.5599999,-2.6199999,1.77,-3.9000001,-4.29,-4.8799996,1.77,-4.27,2.1199999,6.5500002,-3.75,0.74999994,-7.71,-5.8999996
199011,0.56999999,6.3499999,-0.059999999,-3.1600001,0.81999999,-4.75,-5.6199999,-0.64999998,5.9000001,5.98,3.5400002,6.2199998,1.0599999,8.2000008,10.55,2.53,1.73,9.8000002,8.8800001,13.73,4.7399998
199012,0.60000002,2.46,0.61000001,-1.54,2.8599999,-2,0.16,-2.22,-3.1099999,3.8099999,-1.04,4.6800003,-2.77,3.4000001,3.5700002,1.15,0.19999999,2.79,2.1500001,4.8699999,4.8099999
199101,0.51999998,4.6900001,3.8599999,-1.84,1.55,-4.0799999,-6.5300002,6.1599998,-2.05,4.6300001,6.77,7.6500001,-2.53,2.0799999,14.41,-0.33999997,-1.89,8.8899994,4.0100002,6.6599998,7.6299996
199102,0.47999999,7.1900001,3.96,-0.54000002,-0.27000001,-0.16,-4.73,1.1,2,9.8100004,9.7600002,5.54,7.9100003,5.3699999,5.7399998,2.9300001,4.3499999,7.5599999,9.3700008,10.360001,7.52
199103,0.44,2.6500001,3.8199999,-1.23,-0.38999999,-0.99000001,2.8299999,-0.33000001,0.47999999,4.3400002,0.71999997,1,0.83999997,0.70999998,-0.26999998,1.8999999,1.27,8.1700001,4.9899998,5.3699999,-1.3399999
199104,0.52999997,-0.28,0.33000001,1.42,0.52999997,0.70999998,-2.4000001,-1.1799999,1.58,-1.49,-2.8799999,-0.93999994,2,1.73,-3.47,0.59000003,-0.55999994,1.4300001,-1.65,1.2,-0.059999973
199105,0.47,3.6500001,0.17,-0.56999999,2.1099999,-2.45,-0.1,1.34,0.34,3.1199999,14.25,6.6700001,-1.86,7.4500003,3.3,-1.9200001,-0.31,7.0600004,4.1400003,4.1700001,4.9100003
199106,0.41999999,-4.9400001,0.17,1.21,1.75,0.63,0.46000001,-1.6900001,2.0999999,-5.3699999,-4.8800001,-4.4500003,-4.1199999,-5.0300002,-9.3299999,-2.3199999,-2.79,-4.5999999,-4.5799999,-5.71,-5.48
199107,0.49000001,4.2399998,-0.95999998,-1.25,1.61,-1.41,4.3099999,0.80000001,2.0599999,5.1800003,-0.89999998,1.78,4.5299997,4.6599998,4.1499996,2.71,3.5,4.9099998,7.9499998,5.1899996,2.3099999
199108,0.46000001,2.3199999,1.4400001,-0.77999997,0.88,-0.55000001,1.63,-0.41,-2.9300001,4.9400001,-2.6000001,1.6800001,1.29,1.0899999,2.3299999,0.37999997,3.0699999,3.21,2.3999999,3.9200001,0.16999999
199109,0.46000001,-1.59,1.55,-1,-1.8099999,0.16,1.73,-0.79000002,-0.85000002,-3.71,-3.1400001,-2.96,-1.16,-2.3099999,-1.8000001,0.080000013,3.27,-3.71,-0.86000001,-0.66000003,-1.6800001
199110,0.41999999,1.29,0.94999999,-0.43000001,-1.73,-0.28999999,3.23,2.28,-1.26,-1.02,-2.4100001,1.26,1.61,0.75,1.5500001,1.6899999,0.81000006,-2.3800001,6.2199998,1.6999999,2.3599999
